OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
17,17,2,003,BAKER,Baker,FL,698,24,12,74,105,90,120,112,80,49,30,2,0 to 99,48,393,279,26,669,29,0,21,657,16,59,3,26,672,0,0,669,8,18,0,0,18,8,0,26,0,0,2,2,3,1,5,5,5,3,0,23 to 97,65,19,6,1,0,0,25,1,7,0,9,0,0,3,26,8,18,26,0,0,750,29,805,779,26,3,3,2,1520245937.66486,183737.354704368,70
18,18,30,059,HOLMES,Holmes,FL,582,11,8,39,66,62,97,108,120,55,16,0,0 to 92,56,336,228,18,576,6,0,2,575,5,14,1,14,567,1,0,575,8,6,0,0,6,8,0,14,1,0,0,4,4,3,1,1,0,0,0,1 to 73,40,9,2,1,2,0,12,2,3,0,1,0,0,0,14,8,6,14,0,0,613,6,634,619,14,0,6,5,1251550190.83949,175658.620344926,44
19,19,43,085,MARTIN,Martin,FL,3460,79,69,245,362,430,478,650,579,379,171,18,0 to 99,56,1803,1505,152,3423,37,0,126,3113,82,322,64,472,2980,2,6,3416,450,11,11,0,212,233,16,461,20,20,58,64,82,75,68,33,37,11,4,0 to 92,42,213,8,113,127,199,140,122,106,2,65,1,1,8,472,241,215,461,11,0,5467,25,5974,5492,472,8,62,51,1686613017.08661,308980.48751506,55
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,39994,923,988,3205,5936,5893,6340,7012,5556,2835,1223,83,0 to 119,49,22959,16885,150,39659,335,0,520,38633,458,1216,298,1767,38162,46,19,39595,1606,102,56,3,917,790,1,1708,20,35,169,273,282,294,272,195,139,88,0,0 to 104,48,831,351,341,185,470,957,281,421,11,362,8,3,64,1767,818,948,1708,59,0,43822,275,45994,44097,1767,64,680,332,2746844886.16013,358788.307034344,45
21,21,41,081,MANATEE,Manatee,FL,10956,197,230,570,1003,1120,1451,2068,2295,1414,507,101,0 to 102,59,6233,4407,316,10863,93,0,448,10079,177,853,42,933,10020,3,0,10860,871,56,6,0,533,394,0,927,9,30,45,100,118,139,145,144,131,72,0,0 to 101,56,599,179,65,84,195,599,133,130,2,200,2,2,88,933,397,536,927,6,0,12713,87,13743,12800,933,88,189,97,1945653927.12581,371198.171414394,57
22,22,10,019,CLAY,Clay,FL,6246,89,147,485,752,931,1062,1108,935,519,199,19,0 to 101,51,3608,2522,116,6235,11,0,85,5886,130,388,41,351,5892,3,0,6232,312,37,2,0,210,139,0,349,0,3,17,29,40,56,62,69,48,27,0,6 to 95,59,214,71,19,45,23,266,60,111,0,86,0,0,25,351,140,211,349,2,0,7407,9,7772,7416,351,25,169,140,1667659896.51059,183856.484298748,59
23,23,25,049,HARDEE,Hardee,FL,437,12,21,49,76,46,68,66,65,22,12,0,0 to 94,47,256,172,9,433,4,0,19,335,2,54,3,54,383,0,0,433,38,14,2,0,31,21,0,52,0,6,8,13,4,8,6,8,1,0,0,7 to 83,32,21,26,5,0,12,40,0,15,2,9,2,0,0,54,22,32,52,2,0,596,2,652,598,54,0,78,49,1653184151.65315,165534.73009074,50
24,24,42,083,MARION,Marion,FL,9020,109,129,584,1040,1081,1399,1626,1626,992,410,24,0 to 168,55,5454,3524,42,8996,24,0,1804,6905,177,1218,126,233,8016,1,770,8225,207,21,4,1,128,100,0,228,4,3,16,32,43,43,43,28,14,7,0,0 to 97,49,168,34,17,9,39,179,10,42,3,31,0,0,5,233,101,132,228,5,0,8876,19,9132,8895,233,5,275,123,4305055841.62241,350920.190673371,51
25,25,64,127,VOLUSIA,Volusia,FL,14897,132,228,740,1584,1638,2227,3089,2811,1491,680,277,0 to 117,57,8049,6131,717,14826,71,0,191,14231,230,597,132,630,14256,11,0,14815,505,111,13,1,265,351,0,616,2,12,32,90,73,115,112,112,45,37,0,0 to 102,54,365,125,114,12,93,489,34,176,5,131,4,0,35,630,357,273,616,14,0,17257,57,17965,17314,630,35,627,237,3125661534.15881,560414.737839251,53
26,26,15,029,DIXIE,Dixie,FL,433,15,12,34,50,68,63,78,67,34,11,1,0 to 118,51,249,178,6,433,0,0,10,388,6,27,0,31,402,0,0,433,23,8,0,0,17,14,0,31,0,1,4,1,8,5,7,2,2,1,0,10 to 86,48,19,9,0,3,0,26,5,8,0,5,0,0,1,31,14,17,31,0,0,567,0,598,567,31,1,49,5,1823798262.39212,235232.973119088,46
