OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
1,1,21,041,GILCHRIST,Gilchrist,FL,652,11,10,68,81,84,97,105,91,69,36,0,0 to 118,52,400,242,10,652,0,0,5,639,2,33,1,12,638,2,0,650,11,1,0,0,7,5,0,12,0,0,2,1,1,3,3,1,1,0,0,21 to 79,50,8,1,2,1,2,10,0,1,0,0,0,0,0,12,5,7,12,0,0,809,0,823,809,12,0,18,1,920490830.042053,148547.348006441,50
2,2,54,107,PUTNAM,Putnam,FL,3360,67,99,305,483,416,532,573,420,294,160,11,0 to 118,50,2126,1189,45,3352,8,0,72,3113,133,228,19,152,3204,2,2,3348,101,51,0,0,93,59,0,152,0,12,13,22,24,26,15,18,15,7,0,6 to 98,47,88,56,7,1,6,143,3,35,0,21,0,0,6,152,59,93,152,0,0,3622,8,3784,3630,152,6,109,40,2142439482.67719,232574.925675008,42
3,3,62,123,TAYLOR,Taylor,FL,820,33,17,71,109,100,107,151,137,68,23,4,0 to 118,52,463,325,32,813,7,0,15,742,3,90,4,22,797,1,0,812,14,8,0,0,11,11,0,22,0,0,6,6,2,1,5,2,0,0,0,20 to 70,32,22,0,0,0,1,21,0,5,0,3,0,0,0,22,11,11,22,0,0,923,7,953,930,22,0,123,60,2685252568.13834,267348.178950349,47
4,4,46,091,OKALOOSA,Okaloosa,FL,6770,155,125,501,961,960,886,1045,802,728,568,39,0 to 119,52,4138,2587,45,6629,140,1,111,6385,137,225,66,223,6544,2,1,6627,134,81,4,4,117,98,0,215,4,8,9,28,33,31,41,31,25,13,0,0 to 96,54,162,32,18,3,43,168,4,61,2,37,1,0,6,223,103,120,214,8,1,7439,132,7796,7571,223,6,538,180,2369222670.29688,330553.160278386,58
5,5,7,013,CALHOUN,Calhoun,FL,526,5,4,40,45,78,73,90,83,72,35,1,0 to 99,56,313,194,19,526,0,0,3,443,4,51,3,63,462,1,0,525,46,17,0,0,49,14,0,63,0,0,5,3,5,1,2,7,21,19,0,20 to 99,79,45,9,1,8,0,50,13,12,0,6,0,0,4,63,14,49,63,0,0,565,0,630,565,63,4,67,6,1487626835.10838,192207.890331272,52
6,6,50,099,PALM BEACH,Palm Beach,FL,64748,931,1285,4246,7494,7576,9070,11287,10300,7227,3739,1593,0 to 119,55,35704,28759,285,64009,737,2,1585,60564,465,4691,306,5996,58394,222,136,63656,5767,134,89,6,2880,3013,8,5901,61,136,560,938,940,921,861,651,547,379,2,0 to 104,48,2766,1139,865,1131,1842,2841,1218,1567,29,1177,20,13,337,5996,3065,2923,5899,95,2,67657,639,74527,68296,5996,337,728,463,5710098601.29486,464192.459734082,55
7,7,56,111,ST. LUCIE,St. Lucie,FL,9467,152,176,588,1097,1156,1438,1705,1603,1035,487,30,0 to 119,55,5452,3791,224,9320,147,0,333,8566,188,809,71,471,8904,7,85,9228,409,51,11,0,244,214,2,460,3,8,34,79,71,73,72,62,42,27,0,2 to 97,51,224,111,44,81,74,288,98,139,0,95,1,0,30,471,219,250,460,11,0,10573,136,11188,10709,471,30,74,59,1499679486.67142,252832.323289834,58
8,8,51,101,PASCO,Pasco,FL,13234,255,305,900,1539,1776,2101,2373,2113,1291,553,28,0 to 119,53,7753,5434,47,13160,74,0,153,12688,223,485,97,386,12826,6,16,13138,331,45,9,1,201,175,0,376,7,11,29,48,72,76,53,57,18,15,0,0 to 94,49,248,44,46,38,77,253,46,95,4,76,3,1,13,386,181,205,376,10,0,15052,64,15512,15116,386,13,663,195,1975344274.45807,225211.500752162,48
9,9,20,039,GADSDEN,Gadsden,FL,2860,48,88,203,479,491,496,455,382,137,79,2,0 to 119,47,1996,850,14,2842,17,1,28,2662,46,266,14,273,2585,2,0,2841,260,9,4,0,204,65,0,269,2,4,14,60,65,52,30,26,11,9,0,0 to 98,43,102,115,11,41,20,194,55,47,0,44,0,0,2,273,65,208,268,4,1,3721,13,4015,3734,273,2,336,176,1367889846.39806,205127.330650714,45
10,10,37,073,LEON,Leon,FL,12631,186,292,1439,2062,1863,1952,2082,1712,672,340,31,0 to 119,47,6532,5961,138,12404,226,1,134,12043,201,403,80,404,12213,4,10,12391,369,10,24,1,202,176,1,379,2,13,107,72,53,54,62,29,9,3,0,0 to 87,36,138,211,8,22,21,331,27,75,10,37,9,6,7,404,190,213,378,25,1,14195,201,14805,14396,404,7,581,223,1817477697.41779,246081.909627491,43
