OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
1,1,21,041,GILCHRIST,Gilchrist,FL,645,11,10,67,80,83,96,104,90,68,36,0,0 to 118,52,398,237,10,645,0,0,5,634,2,17,1,12,632,1,0,644,11,1,0,0,7,5,0,12,0,0,2,1,1,3,3,1,1,0,0,21 to 79,50,8,1,0,3,0,10,2,1,0,0,0,0,0,12,5,7,12,0,0,664,0,677,664,12,0,18,1,920490830.042053,148547.348006441,50
2,2,54,107,PUTNAM,Putnam,FL,3300,67,93,299,472,411,522,560,411,294,160,11,0 to 118,50,2093,1161,46,3293,7,0,72,3064,133,219,19,144,3152,2,2,3289,98,46,0,0,87,57,0,144,0,12,13,19,22,23,15,18,15,7,0,6 to 98,47,81,54,8,1,6,133,5,33,0,18,0,0,4,144,57,87,144,0,0,3280,7,3439,3287,144,4,98,29,2142439482.67719,232574.925675008,42
3,3,62,123,TAYLOR,Taylor,FL,781,33,16,62,100,97,105,144,132,65,23,4,0 to 118,52,442,307,32,774,7,0,15,710,3,81,3,14,766,1,0,773,9,5,0,0,8,6,0,14,0,0,4,3,0,1,4,2,0,0,0,20 to 70,40,14,0,0,0,0,14,0,2,0,0,0,0,0,14,6,8,14,0,0,840,7,864,847,14,0,90,69,2685252568.13834,267348.178950349,47
4,4,46,091,OKALOOSA,Okaloosa,FL,6658,144,116,496,947,945,872,1033,790,715,561,39,0 to 119,52,4070,2543,45,6517,140,1,105,6308,137,199,67,194,6461,2,1,6515,106,79,5,4,101,84,0,185,3,4,8,23,27,25,40,30,21,13,0,0 to 96,56,144,30,9,2,30,154,1,53,3,30,1,0,6,194,90,104,184,9,1,6760,131,7091,6891,194,6,478,143,2369222670.29688,330553.160278386,58
5,5,7,013,CALHOUN,Calhoun,FL,505,5,4,37,43,78,70,87,82,64,34,1,0 to 99,56,295,191,19,505,0,0,3,440,4,41,3,52,452,1,0,504,35,17,0,0,41,11,0,52,0,0,4,3,4,1,2,6,14,18,0,20 to 99,80,34,9,1,8,0,41,11,10,0,5,0,0,3,52,11,41,52,0,0,518,0,572,518,52,3,65,11,1487626835.10838,192207.890331272,52
6,6,50,099,PALM BEACH,Palm Beach,FL,63185,895,1229,4103,7264,7351,8868,11047,10109,7072,3652,1595,0 to 119,56,34926,27975,284,62472,711,2,1350,59628,465,4031,298,5429,57420,224,112,62141,5205,132,86,6,2615,2713,9,5337,48,105,491,822,806,836,793,631,535,361,1,0 to 104,50,2525,1019,708,1085,1536,2621,1180,1411,27,1064,17,11,315,5429,2765,2655,5335,92,2,60649,617,67132,61266,5429,315,713,449,5710098601.29486,464192.459734082,55
7,7,56,111,ST. LUCIE,St. Lucie,FL,9169,140,165,566,1036,1105,1395,1665,1568,1019,481,29,0 to 119,56,5284,3663,222,9023,146,0,292,8369,188,716,70,413,8700,6,50,8967,362,41,10,0,213,190,0,403,2,5,28,62,61,67,64,59,40,25,0,3 to 97,52,205,97,40,61,64,270,69,124,0,90,1,0,29,413,194,219,403,10,0,9236,136,9795,9372,413,29,73,58,1499679486.67142,252832.323289834,58
8,8,51,101,PASCO,Pasco,FL,12828,245,293,868,1503,1735,2040,2295,2038,1244,539,28,0 to 119,53,7549,5231,48,12754,74,0,148,12315,223,459,95,369,12439,5,15,12734,314,45,9,1,196,162,1,359,6,10,27,44,70,74,49,58,16,15,0,1 to 94,49,232,41,45,41,71,241,47,90,4,74,3,1,13,369,168,200,359,10,0,13270,64,13722,13334,369,13,626,177,1975344274.45807,225211.500752162,48
9,9,20,039,GADSDEN,Gadsden,FL,2765,48,87,198,455,467,482,439,373,135,79,2,0 to 119,47,1927,824,14,2747,17,1,21,2588,46,233,14,266,2497,2,0,2746,254,8,4,0,201,61,0,262,2,4,14,56,63,51,30,26,11,9,0,0 to 98,44,101,113,9,39,19,190,53,45,0,42,0,0,1,266,62,204,261,4,1,3329,13,3618,3342,266,1,290,162,1367889846.39806,205127.330650714,45
10,10,37,073,LEON,Leon,FL,12483,185,287,1412,2037,1844,1935,2063,1687,662,340,31,0 to 119,47,6450,5893,140,12256,226,1,123,11946,201,376,79,375,12094,4,10,12243,339,10,25,1,187,162,0,349,1,10,100,66,47,53,61,26,8,3,0,2 to 87,36,133,192,8,16,21,307,21,73,10,37,9,6,6,375,176,199,348,26,1,13059,200,13640,13259,375,6,550,213,1817477697.41779,246081.909627491,43
11,11,33,065,JEFFERSON,Jefferson,FL,549,11,10,20,43,74,77,114,119,64,16,1,0 to 101,58,331,213,5,544,5,0,6,479,41,68,7,29,520,0,0,544,7,20,2,0,15,12,0,27,0,0,1,2,1,3,7,7,4,4,0,22 to 95,66,10,12,5,0,3,23,1,4,2,7,0,0,3,29,14,15,27,2,0,561,3,594,564,29,3,46,8,1581350101.5302,228391.565390175,66
