OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
1,1,21,041,GILCHRIST,Gilchrist,FL,661,11,10,70,82,86,98,106,93,69,36,0,0 to 118,52,402,249,10,661,0,0,9,642,2,36,1,19,642,0,0,661,18,1,0,0,8,11,0,19,0,0,4,2,3,4,4,1,1,0,0,17 to 79,45,12,1,2,4,2,14,3,1,0,0,0,0,0,19,11,8,19,0,0,1008,0,1027,1008,19,0,25,8,920490830.042053,148547.348006441,50
2,2,54,107,PUTNAM,Putnam,FL,3384,68,104,310,484,417,536,575,423,296,160,11,0 to 118,50,2142,1198,44,3376,8,0,72,3115,133,242,19,173,3207,2,2,3372,108,65,0,0,108,65,0,173,1,17,17,24,26,28,17,20,16,7,0,3 to 98,46,94,71,8,0,7,164,2,36,0,21,0,0,6,173,65,108,173,0,0,4015,8,4198,4023,173,6,109,40,2142439482.67719,232574.925675008,42
3,3,62,123,TAYLOR,Taylor,FL,858,33,19,78,122,107,111,155,138,68,23,4,0 to 118,51,480,347,31,850,8,0,15,756,3,116,5,45,812,1,0,849,36,8,1,0,16,28,0,44,0,1,13,13,7,2,6,2,1,0,0,6 to 78,29,28,1,0,15,2,27,15,5,0,3,0,0,0,45,28,17,44,1,0,1057,7,1110,1064,45,0,134,56,2685252568.13834,267348.178950349,47
4,4,46,091,OKALOOSA,Okaloosa,FL,6831,159,136,509,974,968,891,1052,806,728,569,39,0 to 119,52,4165,2622,44,6690,140,1,119,6392,137,257,66,253,6572,6,0,6685,160,85,4,4,128,117,0,245,4,13,15,36,39,32,42,33,25,14,0,0 to 96,49,191,35,18,1,65,179,1,66,2,41,1,0,6,253,122,131,244,8,1,8384,132,8775,8516,253,6,576,189,2369222670.29688,330553.160278386,58
5,5,7,013,CALHOUN,Calhoun,FL,529,5,4,40,47,78,74,90,83,72,35,1,0 to 99,56,316,195,18,529,0,0,4,440,4,54,3,64,464,1,0,528,47,17,0,0,49,15,0,64,0,0,5,4,4,2,2,7,21,19,0,20 to 99,78,46,10,0,8,0,52,12,12,0,6,0,0,4,64,15,49,64,0,0,589,0,655,589,64,4,88,27,1487626835.10838,192207.890331272,52
6,6,50,099,PALM BEACH,Palm Beach,FL,65965,953,1358,4427,7698,7753,9246,11457,10389,7299,3790,1595,0 to 119,55,36349,29335,281,65213,750,2,1763,61107,465,5455,322,7074,58540,220,131,64867,6829,136,103,6,3439,3519,7,6965,82,201,733,1128,1109,1079,995,712,605,427,3,0 to 104,47,3155,1342,1059,1409,2246,3217,1502,1717,30,1275,22,13,370,7074,3580,3487,6963,109,2,80615,638,88561,81253,7074,370,1031,766,5710098601.29486,464192.459734082,55
7,7,56,111,ST. LUCIE,St. Lucie,FL,9657,161,186,608,1133,1189,1473,1733,1610,1041,493,30,0 to 119,55,5565,3876,216,9510,147,0,379,8623,188,950,73,607,8946,5,99,9406,539,57,11,0,322,271,3,596,12,18,47,100,92,100,91,68,45,34,0,0 to 97,49,266,140,63,127,102,344,150,162,1,113,2,0,31,607,276,328,596,11,0,13108,136,13858,13244,607,31,86,71,1499679486.67142,252832.323289834,58
8,8,51,101,PASCO,Pasco,FL,13294,258,312,906,1545,1785,2108,2380,2122,1294,556,28,0 to 119,53,7789,5460,45,13220,74,0,164,12703,223,520,99,419,12853,6,16,13198,363,46,9,1,221,188,0,409,8,12,34,52,77,81,57,62,20,16,0,0 to 94,49,266,57,53,33,85,280,44,103,4,81,3,1,15,419,194,225,409,10,0,17696,64,18189,17760,419,15,732,212,1975344274.45807,225211.500752162,48
9,9,20,039,GADSDEN,Gadsden,FL,2880,48,90,204,483,493,503,456,383,139,79,2,0 to 119,47,2011,856,13,2862,17,1,30,2664,46,281,15,293,2586,1,0,2862,280,9,4,0,218,71,0,289,3,6,15,64,67,59,30,27,13,9,0,0 to 98,43,113,122,13,41,28,206,55,50,0,46,0,0,4,293,71,222,288,4,1,4283,13,4596,4296,293,4,357,180,1367889846.39806,205127.330650714,45
10,10,37,073,LEON,Leon,FL,12719,187,294,1453,2081,1880,1964,2098,1718,673,340,31,0 to 119,47,6578,6006,135,12486,232,1,149,12064,201,440,88,438,12266,3,12,12472,397,10,30,1,217,190,0,407,2,13,118,81,58,57,67,30,9,3,0,0 to 87,36,146,229,9,23,22,356,29,76,11,38,9,6,7,438,207,231,406,31,1,17186,201,17829,17387,438,7,610,220,1817477697.41779,246081.909627491,43
