OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
1,1,21,041,GILCHRIST,Gilchrist,FL,667,11,10,71,82,90,99,106,93,69,36,0,0 to 118,52,407,250,10,667,0,0,7,643,2,36,1,20,646,1,0,666,19,1,0,0,9,11,0,20,0,0,4,2,4,4,4,1,1,0,0,17 to 79,44,13,1,2,4,2,15,3,1,0,0,0,0,0,20,11,9,20,0,0,1132,0,1152,1132,20,0,31,14,920490830.042053,148547.348006441,50
2,2,54,107,PUTNAM,Putnam,FL,3384,68,104,310,484,417,536,575,423,296,160,11,0 to 118,50,2142,1198,44,3376,8,0,72,3115,133,242,19,173,3207,2,2,3372,108,65,0,0,108,65,0,173,1,17,17,24,26,28,17,20,16,7,0,3 to 98,46,94,71,8,0,7,164,2,38,0,21,0,0,6,173,65,108,173,0,0,4108,8,4291,4116,173,6,109,40,2142439482.67719,232574.925675008,42
3,3,62,123,TAYLOR,Taylor,FL,859,33,19,78,122,107,111,155,138,69,23,4,0 to 118,51,480,348,31,851,8,0,15,757,3,120,5,46,812,1,0,850,37,8,1,0,16,29,0,45,0,1,13,13,7,2,6,2,2,0,0,6 to 83,30,29,1,0,15,2,28,15,6,0,3,0,0,0,46,29,17,45,1,0,1072,7,1126,1079,46,0,134,51,2685252568.13834,267348.178950349,47
4,4,46,091,OKALOOSA,Okaloosa,FL,6849,161,138,511,979,971,894,1053,806,728,569,39,0 to 119,52,4178,2627,44,6708,140,1,119,6397,137,265,66,262,6581,6,0,6703,169,85,4,4,136,118,0,254,5,13,17,39,41,33,42,33,25,14,0,0 to 96,48,198,35,18,3,68,183,3,66,2,41,1,0,6,262,123,139,253,8,1,8637,132,9037,8769,262,6,593,206,2369222670.29688,330553.160278386,58
5,5,7,013,CALHOUN,Calhoun,FL,531,5,4,40,47,79,74,90,83,73,35,1,0 to 99,56,317,196,18,531,0,0,4,442,4,54,3,66,464,1,0,530,49,17,0,0,50,16,0,66,0,0,5,4,5,2,2,7,22,19,0,20 to 99,78,46,10,0,10,0,52,14,12,0,6,0,0,4,66,16,50,66,0,0,601,0,669,601,66,4,88,27,1487626835.10838,192207.890331272,52
6,6,50,099,PALM BEACH,Palm Beach,FL,66162,954,1365,4446,7738,7772,9290,11486,10404,7312,3800,1595,0 to 119,55,36457,29423,282,65409,751,2,1780,61233,465,5515,325,7230,58578,220,134,65060,6984,136,104,6,3526,3586,8,7120,83,204,749,1164,1124,1113,1014,723,618,435,3,0 to 104,47,3209,1362,1091,1458,2304,3260,1556,1731,30,1287,22,13,372,7230,3647,3575,7118,110,2,83767,638,91869,84405,7230,372,1079,814,5710098601.29486,464192.459734082,55
7,7,56,111,ST. LUCIE,St. Lucie,FL,9678,161,186,609,1134,1195,1478,1738,1612,1042,493,30,0 to 119,55,5581,3885,212,9531,147,0,380,8637,188,956,73,627,8958,5,88,9438,558,58,11,0,335,278,3,616,12,18,48,101,97,105,95,70,46,35,0,0 to 97,49,271,142,63,140,103,349,164,163,1,114,2,0,31,627,283,341,616,11,0,13666,136,14436,13802,627,31,86,71,1499679486.67142,252832.323289834,58
8,8,51,101,PASCO,Pasco,FL,13310,259,312,907,1547,1789,2111,2383,2123,1295,556,28,0 to 119,53,7800,5465,45,13235,75,0,165,12712,223,523,99,424,12862,7,17,13211,367,46,10,1,223,190,0,413,8,12,34,53,80,82,57,62,20,16,0,0 to 94,48,266,59,55,33,88,281,44,103,4,81,3,1,15,424,196,228,413,11,0,18906,64,19405,18970,424,15,738,215,1975344274.45807,225211.500752162,48
9,9,20,039,GADSDEN,Gadsden,FL,2881,48,90,204,483,493,503,456,383,139,80,2,0 to 119,47,2011,857,13,2863,17,1,30,2653,46,284,15,294,2586,1,0,2863,281,9,4,0,218,72,0,290,3,6,15,64,67,59,30,27,13,10,0,0 to 98,43,114,123,13,40,28,207,55,50,0,46,0,0,4,294,72,222,289,4,1,4367,13,4681,4380,294,4,358,163,1367889846.39806,205127.330650714,45
10,10,37,073,LEON,Leon,FL,12746,187,294,1459,2088,1886,1966,2102,1720,673,340,31,0 to 119,47,6599,6013,134,12514,231,1,149,12064,201,467,87,442,12288,4,12,12499,402,10,29,1,220,192,0,412,2,13,120,83,58,57,66,31,9,3,0,0 to 87,36,146,235,9,22,22,362,28,76,11,38,9,6,7,442,208,234,411,30,1,17791,201,18439,17992,442,7,612,221,1817477697.41779,246081.909627491,43
