OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
46,46,36,071,LEE,Lee,FL,17322,188,209,1121,2092,2271,2629,3052,2921,1933,856,50,0 to 119,55,10159,6968,195,16814,507,1,387,15700,613,1347,157,1401,15911,4,6,16805,1222,131,43,5,719,634,0,1353,10,10,88,160,196,236,225,193,145,138,0,0 to 101,55,860,227,35,231,301,810,242,465,14,337,13,4,79,1401,661,740,1352,48,1,15452,459,17316,15911,1401,79,1602,333,2112333669.17714,583283.842331616,54
47,47,11,021,COLLIER,Collier,FL,9199,185,278,683,1063,1168,1348,1465,1438,1135,433,3,0 to 105,54,5175,4004,20,8927,272,0,213,8235,356,875,140,923,8265,2,9,8916,654,198,55,16,444,408,0,852,16,28,85,112,108,138,148,110,117,61,0,0 to 101,53,609,56,66,121,355,369,128,200,18,146,9,3,37,923,449,474,852,71,0,8064,201,9190,8265,923,37,1060,477,5197102107.68439,580181.883282756,57
48,48,13,025,DADE,Dade,FL,123358,1107,1624,8938,19542,19770,22926,21474,14572,8270,4587,548,0 to 135,49,63948,58225,1185,122738,619,1,2828,113084,2785,10281,877,15366,107495,199,298,122243,14506,684,168,8,7447,7740,3,15190,64,147,1202,2548,2411,2905,2559,1695,1067,761,7,0 to 108,49,8138,2435,634,3983,7722,3288,4180,4105,43,2376,29,9,559,15366,7863,7500,15189,176,1,107053,442,123060,107495,15366,559,2130,1394,5114451079.58835,540836.793924443,49
49,49,44,087,MONROE,Monroe,FL,2016,20,31,103,203,281,331,453,349,172,72,1,0 to 101,55,1093,916,7,1961,55,0,551,1225,83,381,73,95,1875,0,46,1919,73,14,4,4,42,45,0,87,0,3,6,11,13,17,17,14,11,3,0,6 to 90,53,66,5,1,15,20,49,18,14,3,10,2,0,3,95,49,46,87,8,0,1832,43,1970,1875,95,3,264,76,2629619857.16548,1399292.97354894,49
50,50,57,113,SANTA ROSA,Santa Rosa,FL,4857,183,198,381,599,636,674,791,765,421,200,9,0 to 119,51,2814,2020,23,4848,9,0,60,4660,99,152,50,182,4672,2,1,4845,140,40,2,0,60,120,0,180,3,1,16,26,31,31,29,27,11,7,0,0 to 94,50,127,28,4,21,9,151,20,23,0,23,0,0,9,182,120,62,180,2,0,4665,7,4856,4672,182,9,535,58,2596863920.94926,364280.718031263,49
51,51,66,131,WALTON,Walton,FL,954,33,24,67,95,123,152,186,155,76,41,2,0 to 101,53,504,419,31,919,35,0,23,880,15,95,34,77,876,1,0,918,48,16,11,2,40,24,0,64,0,0,5,9,10,8,16,14,9,6,0,20 to 101,58,58,5,0,1,1,60,3,11,2,12,2,0,2,77,28,49,64,13,0,854,22,954,876,77,2,47,11,2708101782.46999,370154.781284707,49
52,52,32,063,JACKSON,Jackson,FL,1018,11,12,76,159,156,204,184,127,71,18,0,0 to 97,49,484,524,10,1006,12,0,18,868,19,66,20,126,891,1,0,1005,92,30,3,1,23,99,0,122,1,2,7,31,28,26,21,7,3,0,0,4 to 82,42,67,48,5,2,9,79,34,10,2,6,0,0,0,126,102,24,122,4,0,883,8,1018,891,126,0,115,75,2452499072.79567,223828.324060307,36
53,53,67,133,WASHINGTON,Washington,FL,396,5,5,18,41,48,71,86,64,44,14,0,1 to 103,55,231,146,19,394,2,0,29,350,9,39,9,13,383,0,0,394,7,6,0,0,6,7,0,13,0,0,0,3,1,3,6,0,0,0,0,25 to 62,54,12,0,0,1,0,12,1,0,0,1,0,0,1,13,7,6,13,0,0,381,2,396,383,13,1,46,13,1594396648.51196,243766.072259733,54
54,54,45,089,NASSAU,Nassau,FL,2230,27,35,167,246,290,322,416,358,245,124,0,0 to 103,55,1163,877,190,2149,81,0,28,2156,28,51,23,65,2165,0,0,2149,49,13,1,2,35,27,0,62,0,0,6,12,12,8,8,11,5,3,0,15 to 89,48,51,7,2,2,1,58,3,22,0,13,0,1,1,65,29,36,62,3,0,2087,78,2230,2165,65,1,37,31,1641620662.32831,388721.737801268,49
55,55,22,043,GLADES,Glades,FL,101,1,2,9,14,15,10,16,13,16,4,1,1 to 90,54,56,43,2,101,0,0,3,93,3,9,0,9,92,0,0,101,7,2,0,0,4,5,0,9,0,0,0,3,0,1,2,1,1,1,0,30 to 89,55,5,4,0,0,2,6,1,4,0,3,0,0,1,9,5,4,9,0,0,92,0,101,92,9,1,31,13,2551976411.00452,236757.936928168,61
